"Date","Time","SensorID","Translate01","Translate02","Value","Sensor_Type","Activity","Hour","Date & Time"
"2013-11-10","09:29:21.660484","LS003","Ignore","Ignore","27","Control4-LightSensor","Sleep",9,"2013-11-10T09:29:21.660484"
"2013-11-10","09:29:39.828583","LS002","Ignore","Ignore","46","Control4-LightSensor","Sleep",9,"2013-11-10T09:29:39.828583"
"2013-11-10","09:29:50.674998","LS009","Ignore","Ignore","0","Control4-LightSensor","Sleep",9,"2013-11-10T09:29:50.674998"
"2013-11-10","09:29:51.486701","LS008","Ignore","Ignore","4","Control4-LightSensor","Sleep",9,"2013-11-10T09:29:51.486701"
"2013-11-10","09:38:02.678349","LS006","Ignore","Ignore","7","Control4-LightSensor","Sleep",9,"2013-11-10T09:38:02.678349"
"2013-11-10","09:38:19.291276","LS016","Ignore","Ignore","1","Control4-LightSensor","Sleep",9,"2013-11-10T09:38:19.291276"
"2013-11-10","09:38:26.984675","LS017","Ignore","Ignore","8","Control4-LightSensor","Sleep",9,"2013-11-10T09:38:26.984675"
"2013-11-10","09:39:21.593321","LS003","Ignore","Ignore","24","Control4-LightSensor","Sleep",9,"2013-11-10T09:39:21.593321"
"2013-11-10","09:39:39.762942","LS002","Ignore","Ignore","43","Control4-LightSensor","Sleep",9,"2013-11-10T09:39:39.762942"
"2013-11-10","09:39:51.430632","LS008","Ignore","Ignore","3","Control4-LightSensor","Sleep",9,"2013-11-10T09:39:51.430632"
"2013-11-10","09:45:43.372949","LS004","Ignore","Ignore","2","Control4-LightSensor","Sleep",9,"2013-11-10T09:45:43.372949"
"2013-11-10","09:46:00.912827","MA006","Bedroom","Bedroom","ON","Control4-MotionArea","Sleep",9,"2013-11-10T09:46:00.912827"
"2013-11-10","09:46:02.036499","MA006","Bedroom","Bedroom","OFF","Control4-MotionArea","Sleep",9,"2013-11-10T09:46:02.036499"
"2013-11-10","09:49:21.531616","LS003","Ignore","Ignore","25","Control4-LightSensor","Sleep",9,"2013-11-10T09:49:21.531616"
"2013-11-10","09:49:39.703927","LS002","Ignore","Ignore","44","Control4-LightSensor","Sleep",9,"2013-11-10T09:49:39.703927"
"2013-11-10","09:55:43.311937","LS004","Ignore","Ignore","3","Control4-LightSensor","Sleep",9,"2013-11-10T09:55:43.311937"
"2013-11-10","09:55:54.616553","LS010","Ignore","Ignore","7","Control4-LightSensor","Sleep",9,"2013-11-10T09:55:54.616553"
"2013-11-10","09:58:19.179586","LS016","Ignore","Ignore","2","Control4-LightSensor","Sleep",9,"2013-11-10T09:58:19.179586"
"2013-11-10","09:58:26.867867","LS017","Ignore","Ignore","9","Control4-LightSensor","Sleep",9,"2013-11-10T09:58:26.867867"
"2013-11-10","09:59:21.469972","LS003","Ignore","Ignore","27","Control4-LightSensor","Sleep",9,"2013-11-10T09:59:21.469972"
"2013-11-10","09:59:39.644801","LS002","Ignore","Ignore","46","Control4-LightSensor","Sleep",9,"2013-11-10T09:59:39.644801"
"2013-11-10","09:59:51.318114","LS008","Ignore","Ignore","4","Control4-LightSensor","Sleep",9,"2013-11-10T09:59:51.318114"
"2013-11-10","10:05:47.514742","LS006","Ignore","Ignore","8","Control4-LightSensor","Sleep",10,"2013-11-10T10:05:47.514742"
"2013-11-10","10:08:19.119939","LS016","Ignore","Ignore","1","Control4-LightSensor","Sleep",10,"2013-11-10T10:08:19.119939"
"2013-11-10","10:08:26.806656","LS017","Ignore","Ignore","8","Control4-LightSensor","Sleep",10,"2013-11-10T10:08:26.806656"
"2013-11-10","10:09:21.406854","LS003","Ignore","Ignore","24","Control4-LightSensor","Sleep",10,"2013-11-10T10:09:21.406854"
"2013-11-10","10:09:39.589711","LS002","Ignore","Ignore","42","Control4-LightSensor","Sleep",10,"2013-11-10T10:09:39.589711"
"2013-11-10","10:09:51.263714","LS008","Ignore","Ignore","3","Control4-LightSensor","Sleep",10,"2013-11-10T10:09:51.263714"
"2013-11-10","10:10:20.774914","T104","Ignore","LivingRoomTemp","26","Control4-Temperature","Sleep",10,"2013-11-10T10:10:20.774914"
"2013-11-10","10:11:12.820731","T104","Ignore","LivingRoomTemp","25","Control4-Temperature","Sleep",10,"2013-11-10T10:11:12.820731"
"2013-11-10","10:14:26.582275","MA005","Bedroom","Bed","ON","Control4-MotionArea","Sleep",10,"2013-11-10T10:14:26.582275"
"2013-11-10","10:14:26.586747","LS005","Ignore","Ignore","2","Control4-LightSensor","Sleep",10,"2013-11-10T10:14:26.586747"
"2013-11-10","10:14:27.707815","MA005","Bedroom","Bed","OFF","Control4-MotionArea","Sleep",10,"2013-11-10T10:14:27.707815"
"2013-11-10","10:14:55.550142","MA012","Bedroom","Closet","ON","Control4-MotionArea","Personal_Hygiene",10,"2013-11-10T10:14:55.550142"
"2013-11-10","10:14:58.553431","MA012","Bedroom","Closet","OFF","Control4-MotionArea","Personal_Hygiene",10,"2013-11-10T10:14:58.553431"
"2013-11-10","10:19:06.687650","MA012","Bedroom","Closet","ON","Control4-MotionArea","Personal_Hygiene",10,"2013-11-10T10:19:06.687650"
"2013-11-10","10:19:09.023896","MA012","Bedroom","Closet","OFF","Control4-MotionArea","Personal_Hygiene",10,"2013-11-10T10:19:09.023896"
"2013-11-10","10:20:36.255993","M015","Kitchen","Kitchen","ON","Control4-Motion","Cook_Breakfast",10,"2013-11-10T10:20:36.255993"
"2013-11-10","10:20:37.382637","M015","Kitchen","Kitchen","OFF","Control4-Motion","Cook_Breakfast",10,"2013-11-10T10:20:37.382637"
"2013-11-10","10:20:37.944295","M015","Kitchen","Kitchen","ON","Control4-Motion","Cook_Breakfast",10,"2013-11-10T10:20:37.944295"
"2013-11-10","10:20:41.131121","M015","Kitchen","Kitchen","OFF","Control4-Motion","Cook_Breakfast",10,"2013-11-10T10:20:41.131121"
"2013-11-10","10:20:41.136644","LS015","Ignore","Ignore","22","Control4-LightSensor","Cook_Breakfast",10,"2013-11-10T10:20:41.136644"
"2013-11-10","10:20:42.018743","M016","Kitchen","Kitchen","OFF","Control4-Motion","Cook_Breakfast",10,"2013-11-10T10:20:42.018743"
"2013-11-10","10:20:42.024176","LS016","Ignore","Ignore","39","Control4-LightSensor","Cook_Breakfast",10,"2013-11-10T10:20:42.024176"
"2013-11-10","10:20:42.571779","M016","Kitchen","Kitchen","ON","Control4-Motion","Cook_Breakfast",10,"2013-11-10T10:20:42.571779"
"2013-11-10","10:20:43.944089","M015","Kitchen","Kitchen","ON","Control4-Motion","Cook_Breakfast",10,"2013-11-10T10:20:43.944089"
"2013-11-10","10:20:43.949733","LS015","Ignore","Ignore","21","Control4-LightSensor","Cook_Breakfast",10,"2013-11-10T10:20:43.949733"
"2013-11-10","10:20:44.751901","M011","Kitchen","Kitchen","ON","Control4-Motion","Cook_Breakfast",10,"2013-11-10T10:20:44.751901"
"2013-11-10","10:20:44.756433","LS011","Ignore","Ignore","30","Control4-LightSensor","Cook_Breakfast",10,"2013-11-10T10:20:44.756433"
"2013-11-10","10:20:45.066270","M015","Kitchen","Kitchen","OFF","Control4-Motion","Cook_Breakfast",10,"2013-11-10T10:20:45.066270"
"2013-11-10","10:20:46.821188","M011","Kitchen","Kitchen","OFF","Control4-Motion","Cook_Breakfast",10,"2013-11-10T10:20:46.821188"
"2013-11-10","10:20:47.443567","M016","Kitchen","Kitchen","OFF","Control4-Motion","Cook_Breakfast",10,"2013-11-10T10:20:47.443567"
"2013-11-10","10:20:47.449182","LS016","Ignore","Ignore","38","Control4-LightSensor","Cook_Breakfast",10,"2013-11-10T10:20:47.449182"
"2013-11-10","10:20:48.572645","M016","Kitchen","Kitchen","ON","Control4-Motion","Cook_Breakfast",10,"2013-11-10T10:20:48.572645"
"2013-11-10","10:20:48.578169","LS016","Ignore","Ignore","39","Control4-LightSensor","Cook_Breakfast",10,"2013-11-10T10:20:48.578169"
"2013-11-10","10:20:49.704742","M016","Kitchen","Kitchen","OFF","Control4-Motion","Cook_Breakfast",10,"2013-11-10T10:20:49.704742"
"2013-11-10","10:20:49.709292","LS016","Ignore","Ignore","38","Control4-LightSensor","Cook_Breakfast",10,"2013-11-10T10:20:49.709292"
"2013-11-10","10:21:04.703826","M016","Kitchen","Kitchen","ON","Control4-Motion","Cook_Breakfast",10,"2013-11-10T10:21:04.703826"
"2013-11-10","10:21:04.708496","LS016","Ignore","Ignore","39","Control4-LightSensor","Cook_Breakfast",10,"2013-11-10T10:21:04.708496"
"2013-11-10","10:21:05.826735","M016","Kitchen","Kitchen","OFF","Control4-Motion","Cook_Breakfast",10,"2013-11-10T10:21:05.826735"
"2013-11-10","10:21:07.001538","M015","Kitchen","Kitchen","ON","Control4-Motion","Cook_Breakfast",10,"2013-11-10T10:21:07.001538"
"2013-11-10","10:21:07.513515","M016","Kitchen","Kitchen","ON","Control4-Motion","Cook_Breakfast",10,"2013-11-10T10:21:07.513515"
"2013-11-10","10:21:07.517954","LS016","Ignore","Ignore","38","Control4-LightSensor","Cook_Breakfast",10,"2013-11-10T10:21:07.517954"
"2013-11-10","10:21:07.619515","M011","Kitchen","Kitchen","ON","Control4-Motion","Cook_Breakfast",10,"2013-11-10T10:21:07.619515"
"2013-11-10","10:21:08.129854","M015","Kitchen","Kitchen","OFF","Control4-Motion","Cook_Breakfast",10,"2013-11-10T10:21:08.129854"
"2013-11-10","10:21:08.135310","LS015","Ignore","Ignore","22","Control4-LightSensor","Cook_Breakfast",10,"2013-11-10T10:21:08.135310"
"2013-11-10","10:21:08.750369","M011","Kitchen","Kitchen","OFF","Control4-Motion","Cook_Breakfast",10,"2013-11-10T10:21:08.750369"
"2013-11-10","10:21:11.076342","M016","Kitchen","Kitchen","OFF","Control4-Motion","Cook_Breakfast",10,"2013-11-10T10:21:11.076342"
"2013-11-10","10:21:11.081892","LS016","Ignore","Ignore","39","Control4-LightSensor","Cook_Breakfast",10,"2013-11-10T10:21:11.081892"
"2013-11-10","10:21:12.201046","M016","Kitchen","Kitchen","ON","Control4-Motion","Cook_Breakfast",10,"2013-11-10T10:21:12.201046"
"2013-11-10","10:21:12.688229","M011","Kitchen","Kitchen","ON","Control4-Motion","Cook_Breakfast",10,"2013-11-10T10:21:12.688229"
"2013-11-10","10:21:13.184673","M015","Kitchen","Kitchen","ON","Control4-Motion","Cook_Breakfast",10,"2013-11-10T10:21:13.184673"
"2013-11-10","10:21:14.939744","M011","Kitchen","Kitchen","OFF","Control4-Motion","Cook_Breakfast",10,"2013-11-10T10:21:14.939744"
"2013-11-10","10:21:15.381795","M016","Kitchen","Kitchen","OFF","Control4-Motion","Cook_Breakfast",10,"2013-11-10T10:21:15.381795"
"2013-11-10","10:21:15.435922","M015","Kitchen","Kitchen","OFF","Control4-Motion","Cook_Breakfast",10,"2013-11-10T10:21:15.435922"
"2013-11-10","10:21:15.440479","LS015","Ignore","Ignore","21","Control4-LightSensor","Cook_Breakfast",10,"2013-11-10T10:21:15.440479"
"2013-11-10","10:21:16.321590","M016","Kitchen","Kitchen","ON","Control4-Motion","Cook_Breakfast",10,"2013-11-10T10:21:16.321590"
"2013-11-10","10:21:16.326265","LS016","Ignore","Ignore","38","Control4-LightSensor","Cook_Breakfast",10,"2013-11-10T10:21:16.326265"
"2013-11-10","10:21:17.448404","M016","Kitchen","Kitchen","OFF","Control4-Motion","Cook_Breakfast",10,"2013-11-10T10:21:17.448404"
"2013-11-10","10:21:17.454364","LS016","Ignore","Ignore","39","Control4-LightSensor","Cook_Breakfast",10,"2013-11-10T10:21:17.454364"
"2013-11-10","10:21:17.688029","M015","Kitchen","Kitchen","ON","Control4-Motion","Cook_Breakfast",10,"2013-11-10T10:21:17.688029"
"2013-11-10","10:21:18.011562","M016","Kitchen","Kitchen","ON","Control4-Motion","Cook_Breakfast",10,"2013-11-10T10:21:18.011562"
